Тематика,Текст обращения,Количество комментариев,Количество репостов
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",27,6
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,60,20
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",37,42
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",46,4
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,18,41
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",12,40
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",56,6
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,25,48
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",8,8
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",8,24
Строительство,погибли бездомные животные изза отравления. отвечает это?,88,5
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",15,27
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",19,34
Строительство,погибли бездомные животные изза отравления. отвечает это?,13,14
Строительство,погибли бездомные животные изза отравления. отвечает это?,10,46
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,49,29
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",54,30
Строительство,погибли бездомные животные изза отравления. отвечает это?,11,40
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,18
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",20,34
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",52,34
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",12,47
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",46,10
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,30,14
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,33
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",1,4
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,26,47
Строительство,погибли бездомные животные изза отравления. отвечает это?,88,8
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",20,150
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",97,39
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",93,44
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,21,13
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",18,3
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,48,21
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",72,8
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",99,48
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",41,44
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,58,3
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",28,19
Строительство,погибли бездомные животные изза отравления. отвечает это?,40,26
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",34,20
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,96,46
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,44,36
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",41,25
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",56,34
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",84,49
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,64,15
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,34,26
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,88,24
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",97,40
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",45,11
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,19,13
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",24,2
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",61,43
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",74,17
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",150,39
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,43,14
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",40,12
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",99,37
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",64,3
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,5,31
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",70,49
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",40,20
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",65,31
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,1,23
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",10,34
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",87,31
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",41,14
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",9,8
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",12,28
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",25,200
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",69,5
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",95,27
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",67,45
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",36,16
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",29,6
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",63,3
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",83,24
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",7,24
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",35,13
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",56,42
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",3,43
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,85,0
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,73,17
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",3,16
Строительство,погибли бездомные животные изза отравления. отвечает это?,42,7
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",7,20
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",19,50
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",39,3
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",84,9
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",150,29
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",17,45
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",300,10
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",66,12
Строительство,погибли бездомные животные изза отравления. отвечает это?,85,12
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",150,44
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",91,29
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,6,43
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,49,33
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,300,3
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",39,100
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",54,46
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",40,25
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",89,7
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",64,7
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",47,4
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",10,4
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,53,37
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",6,150
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",3,46
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",55,29
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,87,28
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",21,12
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",32,35
Строительство,погибли бездомные животные изза отравления. отвечает это?,15,16
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",98,2
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",3,6
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,90,12
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,50,14
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",63,21
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",31,26
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",92,46
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",86,6
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,22,16
Строительство,погибли бездомные животные изза отравления. отвечает это?,11,15
Строительство,погибли бездомные животные изза отравления. отвечает это?,98,10
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",63,44
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",14,150
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",54,5
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,2,25
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",80,38
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",68,3
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",36,32
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",88,28
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",0,18
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",36,10
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",38,21
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,49,150
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,76,33
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,75,150
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,8,33
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,63,44
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,34,13
Строительство,погибли бездомные животные изза отравления. отвечает это?,3,42
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",62,28
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",74,30
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",11,36
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",82,1
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",5,15
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,26,6
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,71,9
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",56,11
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",88,13
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,79,5
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,67,50
Строительство,погибли бездомные животные изза отравления. отвечает это?,79,39
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",26,27
Строительство,погибли бездомные животные изза отравления. отвечает это?,43,32
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,26,11
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",84,28
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",66,0
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,59,45
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",19,44
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,85,3
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,37,7
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",73,0
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",31,9
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,27,200
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",63,10
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,82,21
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",73,150
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",59,6
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",75,34
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",91,200
Строительство,погибли бездомные животные изза отравления. отвечает это?,72,15
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",42,48
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",50,5
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",61,40
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,7,39
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",37,34
Строительство,погибли бездомные животные изза отравления. отвечает это?,78,34
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,0,18
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,84,46
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",22,47
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",78,15
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,13,29
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",67,5
Строительство,погибли бездомные животные изза отравления. отвечает это?,78,14
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,88,0
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",77,22
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,61,19
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,16,42
Строительство,погибли бездомные животные изза отравления. отвечает это?,30,42
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",300,4
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,300,21
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",11,18
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",43,49
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",77,38
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",97,36
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",1,20
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",17,2
Образование (нехватка учебников),"обещанная модернизация больницы? оборудование устарело, врачи справляются.",36,25
Строительство,погибли бездомные животные изза отравления. отвечает это?,63,23
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",2,37
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",79,8
Строительство,погибли бездомные животные изза отравления. отвечает это?,85,38
Строительство,погибли бездомные животные изза отравления. отвечает это?,74,2
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",200,19
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,26,5
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",60,31
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,85,31
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",68,19
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,98,47
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,3,2
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",200,7
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",74,35
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,23,42
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,71,5
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,53,14
Состояние дорог,"крик души! поликлинике номер огромные очереди, невозможно попасть врачу.",100,200
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,46,48
Разные обращения,"уважаемая администрация, прошу обратить внимание состояние дорог нашем районе.",84,43
Образование (нехватка учебников),"транспорт ходит большими задержками, особенно вечернее время.",33,26
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,67,14
Разные обращения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне.,3,44
Состояние дорог,"воды доме номер вторые сутки, прошу срочно разобраться!",73,44
Поликлиники (большие очереди),прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная.,69,46
Образование (нехватка учебников),примите меры! школе хватает учебников учеников х классов.,25,45
Поликлиники (большие очереди),"глава региона, прошу рассмотреть вопрос строительстве новой детской площадки.",38,0
Строительство,погибли бездомные животные изза отравления. отвечает это?,52,36
